best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
161,0.845545,0.001976,0.848529,0.847352,0.016912,1411.018,26025
120,0.857568,0.001983,0.847994,0.846722,0.017552,1156.843,26026
134,0.875833,0.001734,0.867131,0.865904,0.016625,1168.613,26027
169,0.862730,0.001967,0.849256,0.848164,0.018063,1475.920,26028
159,0.902059,0.001361,0.895696,0.895023,0.011845,1398.127,26029
160,0.887633,0.001584,0.878612,0.877184,0.014391,1406.688,26030
118,0.898533,0.001707,0.869168,0.868297,0.016332,1255.031,26031
143,0.857680,0.001890,0.855160,0.853759,0.017176,1264.108,26032
177,0.873404,0.001665,0.872427,0.871134,0.015703,1549.148,26033
146,0.871559,0.001883,0.855701,0.854729,0.017220,1390.238,26034
