best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
167,0.812899,0.002404,0.815769,0.814383,0.022327,595.228,5525
109,0.800585,0.002511,0.807521,0.806141,0.022135,396.871,5526
167,0.807254,0.002354,0.819558,0.817716,0.021975,595.861,5527
23,0.776843,0.002896,0.778017,0.776729,0.024938,282.917,5528
53,0.784393,0.002799,0.785492,0.784242,0.024283,303.398,5529
203,0.888053,0.001439,0.889693,0.888818,0.013358,737.577,5530
46,0.779140,0.002879,0.779344,0.778084,0.025578,301.928,5531
177,0.865807,0.001673,0.871761,0.870569,0.016031,627.284,5532
93,0.790442,0.002701,0.793016,0.791687,0.023329,381.756,5533
105,0.795810,0.002585,0.801863,0.800547,0.022229,420.560,5534
