Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
0.5,0,2525,106,0.714858,0.004124,0.683965,0.683727,0.035609,211.273
0.5,1,2526,59,0.715424,0.004100,0.685739,0.685576,0.035154,170.255
0.5,2,2527,61,0.715915,0.004096,0.686086,0.685907,0.035038,184.877
0.5,3,2528,36,0.715387,0.004126,0.683769,0.683543,0.035438,148.267
0.5,4,2529,60,0.715676,0.004083,0.687089,0.686922,0.035007,186.855
0.5,5,2530,69,0.715224,0.004076,0.687623,0.687458,0.034618,180.006
0.5,6,2531,64,0.715398,0.004067,0.688272,0.688068,0.035078,182.692
0.5,7,2532,57,0.715489,0.004107,0.685236,0.685021,0.035433,167.184
0.5,8,2533,91,0.714665,0.004184,0.679352,0.679108,0.036412,207.677
0.5,9,2534,50,0.714979,0.004125,0.683835,0.683606,0.036072,174.390
1.0,0,3025,138,0.748060,0.003042,0.766851,0.766176,0.026754,285.789
1.0,1,3026,174,0.765689,0.003200,0.754776,0.754057,0.028884,365.559
1.0,2,3027,143,0.793233,0.002716,0.791826,0.791150,0.024470,303.489
1.0,3,3028,153,0.751964,0.003191,0.755454,0.754125,0.028207,332.030
1.0,4,3029,151,0.786218,0.002835,0.782683,0.782024,0.024716,337.134
1.0,5,3030,166,0.790251,0.002823,0.783616,0.783091,0.024982,351.338
1.0,6,3031,133,0.781242,0.002851,0.781529,0.780789,0.025281,284.923
1.0,7,3032,125,0.744676,0.003194,0.755197,0.754196,0.026904,280.460
1.0,8,3033,166,0.797340,0.002625,0.798778,0.798011,0.023393,367.411
1.0,9,3034,131,0.750330,0.003132,0.759949,0.759103,0.026472,318.218
1.5,0,3525,148,0.851348,0.002307,0.823183,0.821763,0.024511,326.215
1.5,1,3526,181,0.835857,0.002559,0.803891,0.802646,0.027624,398.416
1.5,2,3527,186,0.854730,0.002010,0.845981,0.845020,0.021619,394.976
1.5,3,3528,161,0.829218,0.002625,0.798848,0.797782,0.028178,359.079
1.5,4,3529,174,0.844812,0.002099,0.839141,0.838067,0.022220,392.506
