best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
129,0.863894,0.001362,0.901083,0.901139,0.013169,690.402,14025
73,0.875880,0.001293,0.906112,0.906205,0.014157,588.723,14026
117,0.867207,0.001391,0.898983,0.898926,0.013359,623.085,14027
120,0.866487,0.001396,0.898620,0.898656,0.013166,658.231,14028
118,0.869772,0.001296,0.905887,0.905861,0.011794,647.490,14029
113,0.865417,0.001319,0.904171,0.904192,0.013173,659.295,14030
109,0.866642,0.001364,0.900962,0.900848,0.012816,635.457,14031
105,0.865120,0.001329,0.903461,0.903362,0.011957,618.868,14032
114,0.864509,0.001340,0.902699,0.902597,0.012536,629.507,14033
113,0.871349,0.001285,0.906674,0.906758,0.012436,636.719,14034
