best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
143,0.855074,0.001580,0.885257,0.885005,0.014103,520.444,5525
149,0.855604,0.001503,0.890845,0.890640,0.013519,518.862,5526
144,0.850275,0.001738,0.873747,0.873703,0.015614,504.781,5527
145,0.860837,0.001482,0.892366,0.892399,0.012587,528.963,5528
124,0.854166,0.001754,0.872586,0.872407,0.014809,477.187,5529
138,0.858989,0.001683,0.877721,0.877665,0.014696,493.884,5530
149,0.852304,0.001759,0.872230,0.872185,0.015632,551.524,5531
130,0.856489,0.001744,0.873293,0.873238,0.014754,520.559,5532
134,0.851650,0.001804,0.868964,0.868881,0.015679,497.444,5533
149,0.856352,0.001682,0.877805,0.877861,0.014585,553.111,5534
