Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
1.0,0,3025,132,0.831785,0.002235,0.837673,0.838205,0.020134,294.922
1.0,1,3026,124,0.836623,0.002152,0.843676,0.844184,0.020029,285.578
1.0,2,3027,124,0.846322,0.002132,0.845172,0.845407,0.019584,284.979
1.0,3,3028,156,0.844514,0.002161,0.843068,0.843291,0.020103,326.094
1.0,4,3029,115,0.831180,0.002179,0.841718,0.842263,0.020321,253.555
1.0,5,3030,157,0.848925,0.002229,0.838069,0.838090,0.020803,339.159
1.0,6,3031,142,0.840599,0.002099,0.847556,0.848161,0.019644,298.439
1.0,7,3032,110,0.833649,0.002207,0.839712,0.840269,0.020494,268.857
1.0,8,3033,143,0.838595,0.002098,0.847632,0.848060,0.019930,289.037
1.0,9,3034,139,0.847391,0.002126,0.845604,0.845899,0.020480,296.862
1.5,0,3525,132,0.875204,0.001449,0.894728,0.894841,0.013510,296.183
1.5,1,3526,126,0.877041,0.001400,0.898306,0.898462,0.012195,312.775
1.5,2,3527,149,0.873022,0.001482,0.892330,0.892407,0.013154,336.712
1.5,3,3528,104,0.876553,0.001448,0.894800,0.895022,0.014000,278.071
1.5,4,3529,151,0.878115,0.001487,0.891967,0.892107,0.013273,341.102
1.5,5,3530,128,0.875587,0.001425,0.896520,0.896673,0.013042,291.872
1.5,6,3531,131,0.872722,0.001500,0.891026,0.891244,0.013559,289.267
1.5,7,3532,129,0.876353,0.001445,0.895008,0.895169,0.012879,271.347
1.5,8,3533,115,0.873748,0.001510,0.890309,0.890431,0.013823,255.327
1.5,9,3534,121,0.876778,0.001561,0.886606,0.886698,0.014182,293.315
2.0,0,4025,90,0.875580,0.001315,0.904487,0.904867,0.013197,284.264
2.0,1,4026,131,0.876065,0.001323,0.903900,0.904330,0.013058,366.790
2.0,2,4027,115,0.876060,0.001321,0.904032,0.904434,0.013106,333.259
2.0,3,4028,119,0.877714,0.001408,0.897709,0.898064,0.013683,313.588
2.0,4,4029,137,0.879035,0.001340,0.902692,0.903090,0.013386,361.617
2.0,5,4030,113,0.873849,0.001411,0.897532,0.898004,0.014115,345.146
2.0,6,4031,107,0.877460,0.001378,0.899923,0.900305,0.013674,329.254
2.0,7,4032,113,0.878820,0.001444,0.895127,0.895380,0.013331,355.463
2.0,8,4033,135,0.876532,0.001373,0.900307,0.900698,0.013816,378.784
2.0,9,4034,123,0.876781,0.001373,0.900246,0.900626,0.013028,347.152
2.5,0,4525,137,0.871910,0.001546,0.887702,0.888151,0.013929,375.168
2.5,1,4526,136,0.870854,0.001521,0.889529,0.889860,0.013875,364.123
2.5,2,4527,157,0.871858,0.001538,0.888289,0.888540,0.013446,429.410
2.5,3,4528,117,0.869515,0.001566,0.886220,0.886595,0.013812,387.959
2.5,4,4529,146,0.870550,0.001573,0.885733,0.886052,0.014085,401.008
2.5,5,4530,152,0.873988,0.001505,0.890695,0.891102,0.013477,417.654
2.5,6,4531,120,0.871385,0.001578,0.885380,0.885716,0.014230,346.487
2.5,7,4532,140,0.872882,0.001551,0.887356,0.887713,0.013758,416.596
2.5,8,4533,138,0.871793,0.001577,0.885427,0.885735,0.014052,379.717
2.5,9,4534,159,0.874005,0.001505,0.890650,0.890953,0.013172,435.229
3.0,0,5025,125,0.861459,0.001675,0.878366,0.878439,0.014556,406.857
3.0,1,5026,148,0.864257,0.001663,0.879245,0.879418,0.014497,479.143
3.0,2,5027,107,0.860965,0.001732,0.874175,0.874229,0.014780,409.171
3.0,3,5028,119,0.857275,0.001706,0.876087,0.876088,0.015137,408.779
3.0,4,5029,128,0.864448,0.001666,0.879023,0.879197,0.014852,415.645
3.0,5,5030,107,0.856118,0.001516,0.889901,0.889649,0.012578,391.693
3.0,6,5031,118,0.862698,0.001692,0.877098,0.877222,0.014620,425.111
3.0,7,5032,129,0.864970,0.001624,0.882058,0.882251,0.014358,421.475
3.0,8,5033,132,0.862751,0.001698,0.876689,0.876755,0.014664,430.304
3.0,9,5034,158,0.861866,0.001352,0.901807,0.901679,0.012276,515.630
3.5,0,5525,143,0.855074,0.001580,0.885257,0.885005,0.014103,520.444
3.5,1,5526,149,0.855604,0.001503,0.890845,0.890640,0.013519,518.862
3.5,2,5527,144,0.850275,0.001738,0.873747,0.873703,0.015614,504.781
3.5,3,5528,145,0.860837,0.001482,0.892366,0.892399,0.012587,528.963
3.5,4,5529,124,0.854166,0.001754,0.872586,0.872407,0.014809,477.187
3.5,5,5530,138,0.858989,0.001683,0.877721,0.877665,0.014696,493.884
3.5,6,5531,149,0.852304,0.001759,0.872230,0.872185,0.015632,551.524
3.5,7,5532,130,0.856489,0.001744,0.873293,0.873238,0.014754,520.559
3.5,8,5533,134,0.851650,0.001804,0.868964,0.868881,0.015679,497.444
3.5,9,5534,149,0.856352,0.001682,0.877805,0.877861,0.014585,553.111
4.0,0,6025,220,0.878384,0.001271,0.907695,0.907538,0.012315,889.559
4.0,1,6026,162,0.868613,0.001381,0.899667,0.899568,0.013672,661.818
4.0,2,6027,117,0.856468,0.001616,0.882614,0.882354,0.013735,624.107
4.0,3,6028,109,0.854115,0.001563,0.886472,0.886248,0.013616,521.508
4.0,4,6029,142,0.858998,0.001476,0.892759,0.892644,0.012729,604.934
4.0,5,6030,138,0.855769,0.001611,0.883018,0.882876,0.014152,567.743
4.0,6,6031,163,0.862966,0.001485,0.892132,0.891905,0.013426,690.668
4.0,7,6032,131,0.856473,0.001539,0.888233,0.888049,0.013602,610.552
4.0,8,6033,145,0.853168,0.001597,0.884020,0.883660,0.013991,618.531
4.0,9,6034,96,0.853839,0.001742,0.873481,0.873158,0.014372,519.161
5.0,0,7025,131,0.860330,0.001633,0.881384,0.880785,0.014747,671.509
5.0,1,7026,152,0.856882,0.001450,0.894650,0.894080,0.012054,772.320
5.0,2,7027,137,0.859779,0.001509,0.890428,0.889900,0.013938,698.980
5.0,3,7028,131,0.858464,0.001520,0.889567,0.888977,0.012709,759.878
5.0,4,7029,146,0.872306,0.001370,0.900504,0.900274,0.013066,775.608
5.0,5,7030,110,0.853125,0.001544,0.887853,0.887269,0.014261,626.213
5.0,6,7031,158,0.853187,0.001451,0.894628,0.894260,0.011953,830.823
5.0,7,7032,125,0.860208,0.001658,0.879573,0.878955,0.014104,668.280
5.0,8,7033,160,0.879336,0.001424,0.896582,0.896287,0.012597,840.466
5.0,9,7034,159,0.873348,0.001360,0.901224,0.900943,0.012390,837.635
6.0,0,8025,158,0.870298,0.001444,0.895086,0.894843,0.013289,986.915
6.0,1,8026,187,0.881131,0.001360,0.901219,0.900804,0.011525,1162.355
6.0,2,8027,142,0.867915,0.001461,0.893883,0.893414,0.012537,927.420
6.0,3,8028,94,0.849260,0.001600,0.883797,0.883298,0.013278,745.768
6.0,4,8029,145,0.862912,0.001557,0.886882,0.886383,0.012960,906.278
6.0,5,8030,158,0.880354,0.001455,0.894337,0.893869,0.012278,986.416
6.0,6,8031,155,0.864393,0.001399,0.898407,0.897810,0.011867,1007.095
6.0,7,8032,138,0.863358,0.001509,0.890391,0.889749,0.012862,906.004
6.0,8,8033,160,0.872142,0.001369,0.900568,0.900312,0.012303,1000.848
6.0,9,8034,185,0.872116,0.001380,0.899751,0.899455,0.012438,1149.621
7.0,0,9025,179,0.877197,0.001335,0.903037,0.902793,0.010605,1348.191
7.0,1,9026,152,0.865901,0.001449,0.894736,0.894141,0.012355,1149.670
7.0,2,9027,158,0.868000,0.001428,0.896311,0.895653,0.011714,1238.392
7.0,3,9028,132,0.863430,0.001515,0.889941,0.889253,0.012360,1006.021
7.0,4,9029,141,0.870675,0.001502,0.890920,0.890219,0.012520,1114.798
7.0,5,9030,135,0.857763,0.001511,0.890249,0.889651,0.012504,1028.467
7.0,6,9031,163,0.859683,0.001521,0.889505,0.888911,0.011871,1227.762
7.0,7,9032,158,0.870992,0.001360,0.901252,0.900739,0.011331,1195.502
7.0,8,9033,144,0.868228,0.001427,0.896319,0.895737,0.013293,1089.260
7.0,9,9034,123,0.859001,0.001456,0.894262,0.893618,0.012356,980.308
8.0,0,10025,121,0.861746,0.001637,0.881101,0.880234,0.015007,1080.027
8.0,1,10026,128,0.862504,0.001731,0.874255,0.873284,0.015481,1144.554
8.0,2,10027,139,0.854210,0.001750,0.872884,0.871971,0.015347,1228.600
8.0,3,10028,133,0.862279,0.001756,0.872445,0.871458,0.015133,1272.343
8.0,4,10029,158,0.866576,0.001680,0.877941,0.877031,0.015124,1380.974
8.0,5,10030,105,0.863026,0.001711,0.875744,0.874756,0.014516,1030.844
8.0,6,10031,165,0.861064,0.001559,0.886798,0.886096,0.013940,1434.014
8.0,7,10032,122,0.861591,0.001612,0.882921,0.882063,0.014979,1125.519
8.0,8,10033,122,0.863218,0.001636,0.881198,0.880320,0.014404,1178.575
8.0,9,10034,104,0.861300,0.001748,0.873046,0.872019,0.015332,1070.910
