best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
66,0.861310,0.001643,0.872650,0.872206,0.016391,1215.093,14025
75,0.864615,0.001521,0.882074,0.881386,0.014490,1313.429,14026
72,0.852421,0.001809,0.859753,0.859184,0.019220,1279.180,14027
81,0.859358,0.001565,0.878624,0.878020,0.015164,1306.368,14028
131,0.864965,0.001561,0.878950,0.878277,0.016583,1568.327,14029
77,0.855323,0.001715,0.866995,0.865728,0.020272,1249.060,14030
85,0.858471,0.001664,0.871005,0.870747,0.015939,1273.968,14031
129,0.852792,0.001668,0.870692,0.870098,0.016813,1419.843,14032
66,0.852950,0.001859,0.855864,0.855355,0.019924,1138.186,14033
135,0.862924,0.001522,0.881986,0.881306,0.016452,1511.876,14034
