best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
77,0.837492,0.002216,0.828197,0.828279,0.020772,462.661,3525
74,0.843092,0.002147,0.833536,0.833308,0.022262,428.824,3526
47,0.838519,0.002392,0.814565,0.814527,0.023260,400.975,3527
83,0.842978,0.002100,0.837180,0.836668,0.021079,450.077,3528
101,0.844389,0.002197,0.829692,0.829214,0.023339,498.324,3529
64,0.846499,0.002314,0.820628,0.820451,0.023058,445.704,3530
73,0.838053,0.002112,0.836289,0.835981,0.020602,434.013,3531
61,0.844600,0.002301,0.821589,0.821567,0.021585,435.409,3532
96,0.846703,0.002204,0.829145,0.828830,0.023691,479.142,3533
84,0.840270,0.002153,0.833089,0.832615,0.022498,430.894,3534
