Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
0.2,0,2225,93,0.769556,0.002768,0.785416,0.785638,0.027457,277.831
0.2,1,2226,142,0.765613,0.002877,0.776958,0.777418,0.029984,339.911
0.2,2,2227,97,0.764408,0.002765,0.785593,0.785915,0.028513,236.111
0.2,3,2228,134,0.768156,0.002803,0.782646,0.783277,0.028377,332.159
0.2,4,2229,77,0.770428,0.002849,0.779126,0.779462,0.029442,273.326
0.2,5,2230,65,0.762632,0.002805,0.782547,0.782740,0.029060,218.894
0.2,6,2231,94,0.765682,0.002829,0.780661,0.780799,0.028235,256.062
0.2,7,2232,169,0.768796,0.002817,0.781557,0.782144,0.029783,402.448
0.2,8,2233,68,0.763430,0.002843,0.779576,0.779750,0.028462,211.079
0.2,9,2234,53,0.767065,0.003007,0.766831,0.766754,0.027559,242.812
0.4,0,2425,112,0.792862,0.002844,0.779470,0.779824,0.029539,294.740
0.4,1,2426,103,0.794351,0.002817,0.781571,0.782045,0.028758,313.724
0.4,2,2427,133,0.796784,0.002868,0.777613,0.777889,0.030384,342.358
0.4,3,2428,122,0.793951,0.002833,0.780349,0.780761,0.029404,318.701
0.4,4,2429,118,0.790781,0.002849,0.779123,0.779480,0.029497,291.833
0.4,5,2430,131,0.791557,0.002837,0.780050,0.780288,0.030072,324.822
0.4,6,2431,136,0.795160,0.002834,0.780280,0.780581,0.029737,332.953
0.4,7,2432,149,0.794689,0.002819,0.781403,0.781728,0.029778,366.944
0.4,8,2433,113,0.786976,0.002867,0.777711,0.778196,0.028835,283.497
0.4,9,2434,127,0.797563,0.002853,0.778798,0.779077,0.029565,343.668
0.5,0,2525,139,0.800583,0.002753,0.786525,0.786613,0.028876,340.739
0.5,1,2526,110,0.791886,0.002780,0.784459,0.784780,0.028249,270.041
0.5,2,2527,135,0.798206,0.002768,0.785420,0.785705,0.028373,320.854
0.5,3,2528,81,0.795957,0.002835,0.780177,0.780362,0.028614,272.440
0.5,4,2529,122,0.798621,0.002777,0.784698,0.784883,0.028716,301.950
0.5,5,2530,139,0.801471,0.002760,0.785997,0.786299,0.028547,356.423
0.5,6,2531,107,0.800208,0.002754,0.786456,0.786647,0.028690,321.522
0.5,7,2532,127,0.797848,0.002752,0.786638,0.786921,0.028506,313.565
0.5,8,2533,107,0.797473,0.002730,0.788343,0.788616,0.027020,305.704
0.5,9,2534,110,0.796583,0.002813,0.781887,0.782059,0.029032,272.614
0.6,0,2625,90,0.799144,0.002795,0.783318,0.783617,0.028253,321.065
0.6,1,2626,112,0.798651,0.002716,0.789407,0.789694,0.028732,315.974
0.6,2,2627,113,0.796986,0.002823,0.781109,0.781527,0.029341,331.399
0.6,3,2628,113,0.800959,0.002648,0.794711,0.795104,0.027452,347.700
0.6,4,2629,146,0.802240,0.002618,0.797037,0.797523,0.028248,405.691
0.6,5,2630,109,0.799665,0.002746,0.787129,0.787682,0.028025,288.252
0.6,6,2631,121,0.801574,0.002755,0.786411,0.786860,0.029066,333.378
0.6,7,2632,111,0.802649,0.002631,0.796043,0.796515,0.026267,354.139
0.6,8,2633,99,0.800176,0.002686,0.791743,0.792198,0.027620,281.440
0.6,9,2634,128,0.801889,0.002721,0.789021,0.789382,0.028590,342.019
0.8,0,2825,116,0.814657,0.002501,0.806112,0.806449,0.025616,394.114
0.8,1,2826,84,0.814591,0.002602,0.798287,0.798818,0.026973,314.496
0.8,2,2827,127,0.813881,0.002498,0.806322,0.806600,0.025549,388.196
0.8,3,2828,89,0.816953,0.002510,0.805385,0.805866,0.024659,387.950
0.8,4,2829,102,0.814222,0.002462,0.809095,0.809374,0.024789,418.762
0.8,5,2830,98,0.814820,0.002552,0.802169,0.802629,0.026446,331.272
0.8,6,2831,104,0.815946,0.002498,0.806342,0.806591,0.024958,348.131
