best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
163,0.392532,0.008196,0.380844,0.378501,0.054124,1866.786,8025
225,0.477293,0.006622,0.499768,0.496721,0.048791,2446.536,8026
104,0.405361,0.007553,0.429428,0.427620,0.049968,1459.346,8027
141,0.448828,0.007344,0.445204,0.442504,0.053189,1615.330,8028
198,0.449083,0.007963,0.398485,0.396223,0.052845,2182.949,8029
180,0.378757,0.008223,0.378833,0.376121,0.055910,1979.358,8030
223,0.431015,0.007738,0.415504,0.413169,0.051575,2457.661,8031
144,0.453683,0.006721,0.492298,0.490125,0.047505,1871.883,8032
98,0.399317,0.007729,0.416124,0.413888,0.051951,1519.847,8033
128,0.408989,0.007741,0.415281,0.412187,0.052922,1575.933,8034
