best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
72,0.307677,0.008511,0.357107,0.353947,0.051471,731.686,9025
180,0.322863,0.008410,0.364689,0.360926,0.052271,1382.499,9026
157,0.328078,0.008589,0.351213,0.347488,0.053728,1238.569,9027
163,0.347820,0.008762,0.338114,0.334275,0.055437,1290.730,9028
169,0.364474,0.009060,0.315639,0.312700,0.057085,1325.159,9029
150,0.317189,0.008597,0.350568,0.347161,0.054143,1184.051,9030
119,0.310358,0.008508,0.357338,0.354012,0.052406,1002.425,9031
119,0.310126,0.008537,0.355148,0.352053,0.053702,971.004,9032
131,0.335386,0.008844,0.331922,0.328806,0.056066,1046.091,9033
158,0.345742,0.008835,0.332613,0.329670,0.056610,1244.085,9034
