best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec,seed
98,0.303839,0.009337,0.294685,0.291030,0.051808,848.732,7025
182,0.349424,0.009076,0.314408,0.310641,0.056129,1307.861,7026
101,0.299998,0.009482,0.283700,0.280024,0.052443,791.990,7027
191,0.320923,0.009474,0.284314,0.280544,0.057730,1411.846,7028
161,0.322781,0.009543,0.279136,0.275372,0.060581,1159.641,7029
105,0.294608,0.009617,0.273545,0.269485,0.054839,760.973,7030
83,0.300963,0.009340,0.294495,0.290689,0.052529,737.913,7031
75,0.292577,0.009326,0.295557,0.292130,0.051243,859.272,7032
91,0.293227,0.009520,0.280892,0.277226,0.051086,805.288,7033
138,0.322666,0.009554,0.278276,0.274214,0.058277,1014.246,7034
