Rc,rep,seed,best_epoch,best_val_R2,test_loss,test_R2,bootstrap_R2_mean,bootstrap_R2_std,total_sec
0.2,0,2225,108,0.406195,0.008600,0.350354,0.348747,0.059843,334.804
0.2,1,2226,111,0.401441,0.008455,0.361304,0.359769,0.061934,313.752
0.2,2,2227,138,0.385020,0.008709,0.342136,0.340364,0.059812,378.789
0.2,3,2228,183,0.347022,0.009245,0.301629,0.299125,0.055749,409.352
0.2,4,2229,148,0.349900,0.008929,0.325502,0.323401,0.054116,335.760
0.2,5,2230,125,0.363155,0.008496,0.358207,0.357074,0.063209,322.588
0.2,6,2231,86,0.405397,0.008481,0.359368,0.358057,0.058497,292.413
0.2,7,2232,88,0.393424,0.008242,0.377443,0.376399,0.055672,283.307
0.2,8,2233,160,0.315036,0.009398,0.290097,0.287124,0.059756,372.992
0.2,9,2234,130,0.313221,0.009528,0.280267,0.277664,0.055797,288.930
0.4,0,2425,95,0.353091,0.008499,0.358000,0.354794,0.049692,256.413
0.4,1,2426,142,0.456638,0.007281,0.449992,0.446354,0.049348,392.766
0.4,2,2427,140,0.391183,0.008430,0.363242,0.359364,0.052630,354.997
0.4,3,2428,141,0.385613,0.008176,0.382374,0.378866,0.050613,344.256
0.4,4,2429,152,0.428216,0.007756,0.414083,0.409365,0.054001,388.896
0.4,5,2430,115,0.418126,0.007802,0.410635,0.406972,0.050271,355.385
0.4,6,2431,144,0.394293,0.008194,0.380996,0.377796,0.050330,354.368
0.4,7,2432,154,0.394823,0.008212,0.379643,0.375647,0.051259,371.693
0.4,8,2433,107,0.385451,0.008201,0.380475,0.377501,0.048549,320.151
0.4,9,2434,121,0.404743,0.008032,0.393282,0.389549,0.052470,340.708
0.6,0,2625,182,0.413544,0.008155,0.383976,0.381220,0.051607,509.384
0.6,1,2626,127,0.414504,0.007931,0.400865,0.397881,0.050215,393.370
0.6,2,2627,108,0.383858,0.008209,0.379872,0.377249,0.048294,343.678
0.6,3,2628,122,0.374913,0.008313,0.372007,0.369245,0.048322,332.544
0.6,4,2629,143,0.384490,0.008181,0.382003,0.378996,0.049510,449.198
0.6,5,2630,188,0.415109,0.008117,0.386833,0.384187,0.053473,506.160
0.6,6,2631,129,0.403112,0.008085,0.389291,0.386793,0.050854,381.682
0.6,7,2632,206,0.415453,0.008284,0.374214,0.371436,0.053411,551.337
0.6,8,2633,88,0.378126,0.008330,0.370749,0.368449,0.046630,307.429
0.6,9,2634,114,0.368924,0.008261,0.375990,0.373437,0.045645,339.127
0.8,0,2825,143,0.344487,0.008520,0.356398,0.353393,0.050635,429.886
0.8,1,2826,111,0.346677,0.008367,0.367998,0.364901,0.050632,384.619
0.8,2,2827,125,0.349950,0.008453,0.361451,0.358482,0.051975,390.293
0.8,3,2828,149,0.348643,0.008431,0.363125,0.360000,0.050174,458.351
0.8,4,2829,147,0.350929,0.008476,0.359761,0.356644,0.051684,473.972
0.8,5,2830,110,0.344203,0.008460,0.360975,0.358094,0.050652,401.231
0.8,6,2831,130,0.348566,0.008538,0.355027,0.352144,0.053436,431.029
0.8,7,2832,93,0.353018,0.008390,0.366199,0.363335,0.047786,409.723
0.8,8,2833,148,0.345743,0.008445,0.362038,0.359058,0.050567,447.013
0.8,9,2834,148,0.348148,0.008482,0.359272,0.356446,0.051445,451.666
1.0,0,3025,73,0.321938,0.008603,0.350107,0.347089,0.050377,378.225
1.0,1,3026,102,0.320618,0.008626,0.348416,0.345071,0.053158,347.092
1.0,2,3027,48,0.321542,0.008597,0.350556,0.347722,0.047722,309.163
1.0,3,3028,62,0.321357,0.008605,0.349961,0.346941,0.050238,341.505
1.0,4,3029,44,0.320628,0.008581,0.351771,0.348867,0.049087,301.551
1.0,5,3030,86,0.324120,0.008645,0.346970,0.343437,0.052020,401.617
1.0,6,3031,49,0.319390,0.008533,0.355416,0.352702,0.050037,318.325
1.0,7,3032,129,0.326590,0.008692,0.343403,0.340028,0.054011,446.089
1.0,8,3033,56,0.320647,0.008586,0.351404,0.348464,0.047948,324.263
1.0,9,3034,74,0.320866,0.008611,0.349548,0.346311,0.050467,339.828
1.5,0,3525,69,0.301036,0.008956,0.323439,0.319503,0.055141,380.063
1.5,1,3526,183,0.338553,0.008488,0.358830,0.355393,0.057588,777.205
1.5,2,3527,65,0.301734,0.008944,0.324400,0.320520,0.056030,418.135
1.5,3,3528,107,0.301818,0.008855,0.331119,0.327594,0.057151,486.734
1.5,4,3529,81,0.312228,0.008803,0.335041,0.331320,0.054859,496.728
1.5,5,3530,151,0.314345,0.008609,0.349697,0.346170,0.056270,614.173
1.5,6,3531,116,0.306230,0.008836,0.332525,0.329122,0.059091,500.997
1.5,7,3532,90,0.304158,0.008778,0.336881,0.332972,0.057116,445.109
1.5,8,3533,74,0.302904,0.008975,0.322031,0.317993,0.054666,473.788
1.5,9,3534,77,0.306007,0.008890,0.328485,0.324452,0.054368,440.094
2.0,0,4025,182,0.374180,0.008039,0.392721,0.389895,0.056256,892.880
2.0,1,4026,173,0.373173,0.008178,0.382237,0.379352,0.057068,848.195
2.0,2,4027,160,0.371625,0.008061,0.391069,0.388095,0.056178,814.211
2.0,3,4028,182,0.371029,0.008181,0.382036,0.379589,0.058249,877.300
2.0,4,4029,145,0.372560,0.008218,0.379227,0.376465,0.057270,703.135
2.0,5,4030,166,0.375859,0.008125,0.386258,0.383505,0.058459,799.909
2.0,6,4031,161,0.366331,0.008198,0.380734,0.378025,0.058052,774.851
2.0,7,4032,158,0.393976,0.008121,0.386532,0.383444,0.055993,821.105
2.0,8,4033,152,0.376349,0.008126,0.386134,0.383355,0.057332,734.481
2.0,9,4034,184,0.384367,0.008052,0.391760,0.388947,0.056267,933.969
2.2,0,4225,134,0.354328,0.008141,0.385031,0.382486,0.058760,732.495
2.2,1,4226,96,0.348504,0.008346,0.369574,0.367234,0.058626,632.026
2.2,2,4227,138,0.364358,0.008284,0.374216,0.371807,0.058404,754.577
2.2,3,4228,138,0.363772,0.008154,0.384044,0.381162,0.057100,752.774
2.2,4,4229,104,0.353531,0.008179,0.382130,0.379533,0.058075,641.643
2.2,5,4230,101,0.336002,0.008251,0.376762,0.374108,0.057196,624.100
2.2,6,4231,105,0.368334,0.008405,0.365102,0.362429,0.058251,667.638
2.2,7,4232,152,0.360154,0.008310,0.372301,0.369610,0.057943,824.746
2.2,8,4233,115,0.348195,0.007951,0.399353,0.396794,0.055881,691.827
2.2,9,4234,126,0.350469,0.008376,0.367278,0.364521,0.059748,661.364
2.4,0,4425,106,0.333581,0.008167,0.383073,0.380783,0.056960,678.257
2.4,1,4426,114,0.338521,0.008331,0.370712,0.368129,0.059262,703.958
2.4,2,4427,99,0.335538,0.008131,0.385820,0.383577,0.054648,718.538
2.4,3,4428,71,0.332378,0.008385,0.366640,0.363871,0.054666,566.073
2.4,4,4429,141,0.352729,0.008353,0.369056,0.366742,0.058155,778.717
2.4,5,4430,73,0.323143,0.008370,0.367768,0.364662,0.053410,577.547
2.4,6,4431,94,0.372922,0.008009,0.395042,0.393399,0.052766,750.673
2.4,7,4432,90,0.336914,0.008283,0.374325,0.372073,0.057498,695.737
2.4,8,4433,87,0.334548,0.008272,0.375171,0.372778,0.057773,617.681
2.4,9,4434,142,0.351955,0.008238,0.377694,0.375322,0.058469,845.895
2.5,0,4525,103,0.346810,0.008279,0.374622,0.372672,0.054518,726.595
2.5,1,4526,102,0.326689,0.008178,0.382219,0.379677,0.052304,692.668
2.5,2,4527,97,0.343762,0.008235,0.377946,0.376057,0.056924,668.610
2.5,3,4528,98,0.336315,0.008208,0.379958,0.377580,0.054198,669.229
2.5,4,4529,133,0.341734,0.008279,0.374582,0.372449,0.057800,726.053
2.5,5,4530,94,0.332926,0.008244,0.377259,0.374646,0.057643,647.191
2.5,6,4531,103,0.331443,0.008186,0.381615,0.379142,0.056622,695.029
2.5,7,4532,110,0.342816,0.008368,0.367916,0.365455,0.055384,699.958
2.5,8,4533,104,0.327995,0.008363,0.368266,0.365885,0.058828,574.040
2.5,9,4534,106,0.337177,0.008301,0.372916,0.370297,0.057206,673.733
2.6,0,4625,93,0.335434,0.008386,0.366536,0.363545,0.051771,728.189
2.6,1,4626,154,0.347395,0.008167,0.383042,0.381126,0.055901,868.599
2.6,2,4627,101,0.326122,0.008294,0.373457,0.371420,0.058552,654.058
2.6,3,4628,76,0.328133,0.008187,0.381557,0.378732,0.052608,609.136
2.6,4,4629,112,0.334996,0.007986,0.396747,0.394593,0.057262,736.287
2.6,5,4630,85,0.332863,0.008060,0.391152,0.389116,0.056715,653.153
2.6,6,4631,109,0.332531,0.008312,0.372122,0.369938,0.056989,702.583
2.6,7,4632,103,0.333893,0.008115,0.387014,0.384705,0.057995,752.495
2.6,8,4633,88,0.327903,0.008272,0.375113,0.372572,0.055554,734.071
2.6,9,4634,95,0.340075,0.008175,0.382441,0.380722,0.057512,708.987
2.8,0,4825,115,0.334268,0.008448,0.361836,0.360001,0.057773,689.536
2.8,1,4826,128,0.339439,0.008319,0.371573,0.368875,0.057137,770.451
2.8,2,4827,150,0.360816,0.008172,0.382714,0.381285,0.056032,878.721
2.8,3,4828,92,0.332065,0.008378,0.367107,0.364638,0.055937,683.889
2.8,4,4829,136,0.382106,0.008474,0.359912,0.358612,0.057954,834.122
2.8,5,4830,167,0.360264,0.008186,0.381634,0.379799,0.056768,959.664
2.8,6,4831,107,0.336739,0.008419,0.364066,0.362206,0.058341,744.867
2.8,7,4832,179,0.365910,0.008156,0.383914,0.382437,0.056397,1046.246
2.8,8,4833,128,0.376727,0.008141,0.385067,0.383137,0.058120,955.268
2.8,9,4834,95,0.333134,0.008118,0.386784,0.384500,0.054597,735.733
3.0,0,5025,116,0.334131,0.008579,0.351956,0.349570,0.059996,807.417
3.0,1,5026,107,0.327455,0.008661,0.345751,0.343267,0.059089,671.098
3.0,2,5027,108,0.334934,0.008405,0.365067,0.362428,0.055383,786.739
3.0,3,5028,102,0.323310,0.008365,0.368091,0.365592,0.059656,716.511
3.0,4,5029,85,0.318830,0.008446,0.361959,0.359078,0.056058,723.089
3.0,5,5030,118,0.328847,0.008266,0.375620,0.373275,0.057861,738.476
3.0,6,5031,106,0.330299,0.008258,0.376217,0.373541,0.058395,737.958
3.0,7,5032,120,0.335180,0.008544,0.354595,0.352018,0.057546,821.903
3.0,8,5033,162,0.358709,0.008315,0.371885,0.370036,0.058260,1002.185
3.0,9,5034,121,0.339737,0.008442,0.362278,0.359804,0.058301,761.927
3.5,0,5525,133,0.351001,0.008717,0.341515,0.338067,0.062664,860.224
3.5,1,5526,140,0.334801,0.008770,0.337529,0.334415,0.058019,932.479
3.5,2,5527,121,0.365621,0.008544,0.354567,0.351724,0.061716,959.818
3.5,3,5528,148,0.367671,0.008510,0.357175,0.354479,0.060547,980.033
3.5,4,5529,74,0.346935,0.008311,0.372166,0.368755,0.056958,698.481
3.5,5,5530,85,0.328315,0.008644,0.347059,0.344003,0.059709,728.954
3.5,6,5531,74,0.332857,0.008611,0.349526,0.345650,0.059252,696.757
3.5,7,5532,130,0.348703,0.008694,0.343276,0.340100,0.059100,859.584
3.5,8,5533,122,0.357474,0.008615,0.349196,0.346426,0.058917,807.984
3.5,9,5534,93,0.339901,0.008295,0.373374,0.369954,0.057248,776.519
4.0,0,6025,128,0.337200,0.008742,0.339616,0.336131,0.057685,925.605
4.0,1,6026,142,0.366827,0.008645,0.346945,0.343837,0.058182,984.325
4.0,2,6027,140,0.357835,0.008753,0.338838,0.335843,0.057011,1003.567
4.0,3,6028,141,0.335292,0.008752,0.338906,0.335104,0.056126,976.762
4.0,4,6029,143,0.327125,0.008772,0.337362,0.334042,0.053878,989.453
4.0,5,6030,113,0.340327,0.008823,0.333496,0.329490,0.055277,947.023
4.0,6,6031,103,0.340259,0.008513,0.356967,0.353266,0.055234,922.713
4.0,7,6032,177,0.351862,0.008872,0.329779,0.326454,0.056909,1214.923
4.0,8,6033,102,0.331904,0.008919,0.326252,0.322454,0.055947,755.335
4.0,9,6034,129,0.335219,0.008733,0.340306,0.337171,0.057244,892.643
4.5,0,6525,171,0.348990,0.009080,0.314130,0.310391,0.059303,1242.113
4.5,1,6526,116,0.312630,0.009200,0.305030,0.301295,0.054827,828.997
4.5,2,6527,112,0.313723,0.009239,0.302114,0.298561,0.055706,794.307
4.5,3,6528,96,0.304395,0.009088,0.313524,0.309987,0.054331,776.656
4.5,4,6529,116,0.317957,0.009039,0.317230,0.313259,0.055271,829.710
4.5,5,6530,141,0.360363,0.009130,0.310321,0.306806,0.059234,998.148
4.5,6,6531,131,0.320173,0.009343,0.294257,0.290435,0.057069,969.079
